Dataset:     Population sizes by age, sex and region of birth for 1981.
Description: These are numbers taken from the 1981 census used to initialize
             the England and Wales model population for 1981.
Label s:     Sex, 0=male, 1=female.
Label a:     Age, in single year classes.
Label r:     Region of birth, 0=Non-UK, 1=UK

|s |a   |r1     |r0
|1 | 54 |262381 |23096
|1 | 55 |262063 |22470
|1 | 56 |258580 |21112
|1 | 57 |274234 |27732
|1 | 58 |263607 |25607
|1 | 59 |296333 |23052
|1 | 60 |306776 |22030
|1 | 61 |308930 |18810
|1 | 62 |221856 |14999
|1 | 63 |213580 |10548
|1 | 64 |234696 |14878
|1 | 65 |252654 |10337
|1 | 66 |275090 |13532
|1 | 67 |256799 |11048
|1 | 68 |264371 | 8371
|1 | 69 |247057 |10494
|1 | 70 |249770 |10438
|1 | 71 |231394 | 8901
|1 | 72 |246640 |10525
|1 | 73 |224923 | 8368
|1 | 74 |212292 | 7367
|1 | 75 |203495 | 6247
|1 | 76 |188019 | 9409
|1 | 77 |190824 | 4577
|1 | 78 |158419 | 5542
|1 | 79 |151770 | 3264
|1 | 80 |139344 | 5840
|1 | 81 |126754 | 5306
|1 | 82 | 94344 | 3144
|1 | 83 | 95926 | 3002
|1 | 84 | 75716 | 2854
|1 | 85 | 64673 | 2358
|1 | 86 | 56122 |  558
|1 | 87 | 44175 | 1009
|1 | 88 | 30520 | 1429
|1 | 89 | 30396 |  260
|1 | 90 | 23890 |  636
|1 | 91 | 23154 |  686
|1 | 92 | 15008 | 1064
|1 | 93 | 12532 |    0
|1 | 94 |  7495 |  343
|1 | 95 |  4709 |  343
|1 | 96 |  3280 |  293
|1 | 97 |  2419 |    0
|1 | 98 |  2139 |    0
|1 | 99 |  1371 |  280
|1 |100 |     0 |    0
|1 |101 |     0 |    0
|1 |102 |     0 |    0
|1 |103 |     0 |    0
|1 |104 |     0 |    0
|1 |105 |     0 |    0
|1 |106 |     0 |    0
|1 |107 |     0 |    0
|1 |108 |     0 |    0
|1 |109 |     0 |    0
|1 |110 |     0 |    0
|1 |111 |     0 |    0
|1 |112 |     0 |    0
|1 |113 |     0 |    0
|1 |114 |     0 |    0
|1 |115 |     0 |    0
|1 |116 |     0 |    0
|1 |117 |     0 |    0
|1 |118 |     0 |    0
|1 |119 |     0 |    0
|1 |120 |     0 |    0
