|y  |i    |a |r |s0      |s1
|26 |2007 |0 |2 |  42152 |  35155
|26 |2007 |1 |2 | 295832 | 332747
|26 |2007 |2 |2 | 129690 | 130491
|26 |2007 |3 |2 |  28021 |  30714
|27 |2008 |0 |2 |  39876 |  48660
|27 |2008 |1 |2 | 303306 | 321329
|27 |2008 |2 |2 | 155785 | 158008
|27 |2008 |3 |2 |  31848 |  39031
|28 |2009 |0 |2 |  42352 |  42572
|28 |2009 |1 |2 | 291363 | 341512
|28 |2009 |2 |2 | 154040 | 195421
|28 |2009 |3 |2 |  41925 |  30623
