Dataset:     New version of inf1981.txt, altered to give SSA-born different
             probabilities for disease states (+). In the original versions, SSA-
             born and ONUK-born had the same probabilities. This is the first
             'new' version (there may be subsequent ones).
Description: This inf1981.txt file specifies the probabilities of various diseas
             for migrants upon entry to the UK.
Label a:     Age in years
Label s:     Sex, 0=male, 1=female
Label r:     Region of birth, 0=ONUK-born, 1=UK-born, 2=SSA-born
Label y:     Array index for year (0=1981)
Label q:     Disease state, cumlative probabilities where 0=Always 0,
             1=Uninfected, 2=Immune, 3=Recent Infection, 4=Latent Infection,
             5=Reinfection, 6=Primary Disease, 7=Reactivation Disease,
             8=Reinfection Disease

|a   |s |r |q1         |q2         |q3         |q4         |q5         |q6         |q7         |q8
| 68 |1 |0 |0.14188117 |0.14188117 |0.14594884 |0.97238408 |0.99933639 |0.99983954 |0.99999785 |1.
| 69 |1 |0 |0.12949324 |0.12949324 |0.1331751  |0.97197362 |0.99933639 |0.99982626 |0.99999767 |1.
| 70 |1 |0 |0.1177283  |0.1177283  |0.12104551 |0.97158382 |0.99933639 |0.9998119  |0.99999748 |1.
| 71 |1 |0 |0.10659839 |0.10659839 |0.10957253 |0.97121509 |0.99933639 |0.9997964  |0.99999727 |1.
| 72 |1 |0 |0.09611192 |0.09611192 |0.09876491 |0.97086771 |0.99933639 |0.99977972 |0.99999704 |1.
| 73 |1 |0 |0.08627354 |0.08627354 |0.08862747 |0.97054182 |0.99933639 |0.99976184 |0.9999968  |1.
| 74 |1 |0 |0.07708407 |0.07708407 |0.07916103 |0.97023746 |0.99933639 |0.99974275 |0.99999655 |1.
| 75 |1 |0 |0.0685404  |0.0685404  |0.07036239 |0.96995452 |0.99933639 |0.99972248 |0.99999627 |1.
| 76 |1 |0 |0.06063557 |0.06063557 |0.0622243  |0.96969278 |0.99933639 |0.99970109 |0.99999599 |1.
| 77 |1 |0 |0.05335879 |0.05335879 |0.05473552 |0.96945186 |0.99933639 |0.99967866 |0.99999569 |1.
| 78 |1 |0 |0.04669559 |0.04669559 |0.04788099 |0.9692313  |0.99933639 |0.99965533 |0.99999537 |1.
| 79 |1 |0 |0.04064229 |0.04064229 |0.04165664 |0.96903097 |0.99933639 |0.99963136 |0.99999505 |1.
| 80 |1 |0 |0.03525259 |0.03525259 |0.03611732 |0.96885263 |0.99933639 |0.99960735 |0.99999473 |1.
| 81 |1 |0 |0.03048226 |0.03048226 |0.03121706 |0.96869482 |0.99933639 |0.9995836  |0.99999441 |1.
| 82 |1 |0 |0.02627329 |0.02627329 |0.02689574 |0.96855561 |0.99933639 |0.99956035 |0.99999409 |1.
| 83 |1 |0 |0.0225715  |0.0225715  |0.02309718 |0.96843321 |0.99933639 |0.99953786 |0.99999379 |1.
| 84 |1 |0 |0.01932639 |0.01932639 |0.01976907 |0.96832593 |0.99933639 |0.99951632 |0.9999935  |1.
| 85 |1 |0 |0.01649115 |0.01649115 |0.01686289 |0.96823222 |0.99933639 |0.99949593 |0.99999323 |1.
| 86 |1 |0 |0.0140225  |0.0140225  |0.0143338  |0.96815064 |0.99933639 |0.99947683 |0.99999297 |1.
| 87 |1 |0 |0.01188057 |0.01188057 |0.01214057 |0.96807988 |0.99933639 |0.99945913 |0.99999273 |1.
| 88 |1 |0 |0.0100288  |0.0100288  |0.01024537 |0.96801871 |0.99933639 |0.9994429  |0.99999251 |1.
| 89 |1 |0 |0.00843378 |0.00843378 |0.00861369 |0.96796604 |0.99933639 |0.99942818 |0.99999232 |1.
| 90 |1 |0 |0.00706507 |0.00706507 |0.00721411 |0.96792085 |0.99933639 |0.99941495 |0.99999214 |1.
| 91 |1 |0 |0.0058951  |0.0058951  |0.00601822 |0.96788222 |0.99933639 |0.99940318 |0.99999198 |1.
| 92 |1 |0 |0.00489896 |0.00489896 |0.00500037 |0.96784934 |0.99933639 |0.9993928  |0.99999184 |1.
| 93 |1 |0 |0.00405426 |0.00405426 |0.00413753 |0.96782146 |0.99933639 |0.99938373 |0.99999172 |1.
| 94 |1 |0 |0.00334095 |0.00334095 |0.0034091  |0.96779792 |0.99933639 |0.99937587 |0.99999161 |1.
| 95 |1 |0 |0.00274115 |0.00274115 |0.00279673 |0.96777813 |0.99933639 |0.99936911 |0.99999152 |1.
| 96 |1 |0 |0.002239   |0.002239   |0.00228416 |0.96776156 |0.99933639 |0.99936335 |0.99999144 |1.
| 97 |1 |0 |0.00182046 |0.00182046 |0.00185703 |0.96774776 |0.99933639 |0.99935847 |0.99999138 |1.
| 98 |1 |0 |0.00147323 |0.00147323 |0.00150271 |0.9677363  |0.99933639 |0.99935436 |0.99999132 |1.
| 99 |1 |0 |0.00118649 |0.00118649 |0.00121016 |0.96772684 |0.99933639 |0.99935094 |0.99999128 |1.
|100 |1 |0 |0.00095139 |0.00095139 |0.00097033 |0.96771909 |0.99933639 |0.9993481  |0.99999124 |1.
|101 |1 |0 |0.00076235 |0.00076235 |0.00077749 |0.96771285 |0.99933639 |0.99934581 |0.99999121 |1.
|102 |1 |0 |0.00061087 |0.00061087 |0.00062298 |0.96770785 |0.99933639 |0.99934395 |0.99999118 |1.
|103 |1 |0 |0.00048949 |0.00048949 |0.00049918 |0.96770385 |0.99933639 |0.99934246 |0.99999116 |1.
|104 |1 |0 |0.00039223 |0.00039223 |0.00039999 |0.96770064 |0.99933639 |0.99934127 |0.99999115 |1.
|105 |1 |0 |0.0003143  |0.0003143  |0.00032051 |0.96769807 |0.99933639 |0.9993403  |0.99999113 |1.
|106 |1 |0 |0.00025184 |0.00025184 |0.00025682 |0.96769601 |0.99933639 |0.99933953 |0.99999112 |1.
|107 |1 |0 |0.0002018  |0.0002018  |0.00020579 |0.96769436 |0.99933639 |0.99933891 |0.99999112 |1.
|108 |1 |0 |0.00016171 |0.00016171 |0.0001649  |0.96769304 |0.99933639 |0.99933841 |0.99999111 |1.
|109 |1 |0 |0.00012957 |0.00012957 |0.00013213 |0.96769198 |0.99933639 |0.99933801 |0.9999911  |1.
|110 |1 |0 |0.00010383 |0.00010383 |0.00010588 |0.96769113 |0.99933639 |0.99933768 |0.9999911  |1.
|111 |1 |0 |0.0000832  |0.0000832  |0.00008484 |0.96769045 |0.99933639 |0.99933743 |0.9999911  |1.
|112 |1 |0 |0.00006667 |0.00006667 |0.00006798 |0.96768991 |0.99933639 |0.99933722 |0.99999109 |1.
|113 |1 |0 |0.00005342 |0.00005342 |0.00005447 |0.96768947 |0.99933639 |0.99933706 |0.99999109 |1.
|114 |1 |0 |0.00004281 |0.00004281 |0.00004365 |0.96768912 |0.99933639 |0.99933692 |0.99999109 |1.
|115 |1 |0 |0.0000343  |0.0000343  |0.00003498 |0.96768884 |0.99933639 |0.99933682 |0.99999109 |1.
|116 |1 |0 |0.00002748 |0.00002748 |0.00002803 |0.96768861 |0.99933639 |0.99933673 |0.99999109 |1.
|117 |1 |0 |0.00002202 |0.00002202 |0.00002246 |0.96768843 |0.99933639 |0.99933666 |0.99999109 |1.
|118 |1 |0 |0.00001765 |0.00001765 |0.00001799 |0.96768829 |0.99933639 |0.99933661 |0.99999108 |1.
|119 |1 |0 |0.00001414 |0.00001414 |0.00001442 |0.96768817 |0.99933639 |0.99933656 |0.99999108 |1.
|120 |1 |0 |0.00001133 |0.00001133 |0.00001155 |0.96768808 |0.99933639 |0.99933653 |0.99999108 |1.
|  0 |0 |2 |0.99364836 |0.99364836 |0.99933639 |0.99933639 |0.99933639 |1.         |1.         |1.
|  1 |0 |2 |0.98104586 |0.98104586 |0.99933639 |0.99933639 |0.99933639 |1.         |1.         |1.
|  2 |0 |2 |0.96860321 |0.96860321 |0.99933639 |0.99933639 |0.99933639 |1.         |1.         |1.
|  3 |0 |2 |0.95631837 |0.95631837 |0.99933639 |0.99933639 |0.99933639 |1.         |1.         |1.
|  4 |0 |2 |0.94418933 |0.94418933 |0.99933639 |0.99933639 |0.99933639 |1.         |1.         |1.
|  5 |0 |2 |0.93221413 |0.93221413 |0.99298569 |0.99928666 |0.99933639 |0.99999905 |0.99999921 |1.
|  6 |0 |2 |0.92039081 |0.92039081 |0.98038644 |0.99908766 |0.99933639 |0.99999581 |0.99999699 |1.
|  7 |0 |2 |0.90871745 |0.90871745 |0.9679482  |0.99873054 |0.99933639 |0.9999914  |0.99999409 |1.
|  8 |0 |2 |0.89719214 |0.89719214 |0.95566839 |0.99821705 |0.99933639 |0.99998637 |0.99999075 |1.
|  9 |0 |2 |0.88581301 |0.88581301 |0.9435448  |0.99754909 |0.99933639 |0.99998092 |0.99998706 |1.
| 10 |0 |2 |0.8745782  |0.8745782  |0.9315754  |0.99677923 |0.99933639 |0.99997512 |0.99998294 |1.
| 11 |0 |2 |0.86348588 |0.86348588 |0.91975862 |0.99601019 |0.99933639 |0.99996858 |0.99997776 |1.
| 12 |0 |2 |0.85253424 |0.85253424 |0.90809174 |0.99525094 |0.99933639 |0.9999621  |0.99997262 |1.
| 13 |0 |2 |0.84172151 |0.84172151 |0.89657286 |0.99450134 |0.99933639 |0.99995567 |0.99996751 |1.
| 14 |0 |2 |0.83104591 |0.83104591 |0.88520011 |0.99376127 |0.99933639 |0.99994929 |0.99996245 |1.
| 15 |0 |2 |0.82050571 |0.82050571 |0.87397163 |0.99303062 |0.99933639 |0.99994296 |0.99995743 |1.
| 16 |0 |2 |0.8100992  |0.8100992  |0.86288559 |0.99230925 |0.99933639 |0.99993668 |0.99995244 |1.
| 17 |0 |2 |0.79982467 |0.79982467 |0.85194018 |0.99159706 |0.99933639 |0.99993045 |0.9999475  |1.
| 18 |0 |2 |0.78968045 |0.78968045 |0.84113363 |0.99089392 |0.99933639 |0.99992427 |0.9999426  |1.
| 19 |0 |2 |0.7796649  |0.7796649  |0.83046416 |0.99019972 |0.99933639 |0.99991814 |0.99993773 |1.
| 20 |0 |2 |0.76977637 |0.76977637 |0.81993004 |0.98951435 |0.99933639 |0.99991206 |0.99993291 |1.
| 21 |0 |2 |0.76001325 |0.76001325 |0.80952955 |0.98883769 |0.99933639 |0.99990603 |0.99992813 |1.
| 22 |0 |2 |0.75037397 |0.75037397 |0.799261   |0.98816964 |0.99933639 |0.99990005 |0.99992338 |1.
| 23 |0 |2 |0.74085694 |0.74085694 |0.78912272 |0.98751008 |0.99933639 |0.99989412 |0.99991868 |1.
| 24 |0 |2 |0.73146061 |0.73146061 |0.77911304 |0.9868589  |0.99933639 |0.99988824 |0.99991401 |1.
| 25 |0 |2 |0.72218346 |0.72218346 |0.76923034 |0.98621601 |0.99933639 |0.99988242 |0.99990939 |1.
| 26 |0 |2 |0.71302397 |0.71302397 |0.75947301 |0.98558128 |0.99933639 |0.99987663 |0.9999048  |1.
| 27 |0 |2 |0.70398065 |0.70398065 |0.74983945 |0.98495463 |0.99933639 |0.9998709  |0.99990025 |1.
| 28 |0 |2 |0.69488624 |0.69488624 |0.7401515  |0.98432445 |0.99933639 |0.99986512 |0.99989566 |1.
| 29 |0 |2 |0.68473369 |0.68473369 |0.72933637 |0.98362098 |0.99933639 |0.99985863 |0.99989051 |1.
| 30 |0 |2 |0.67323497 |0.67323497 |0.71708725 |0.98282426 |0.99933639 |0.99985124 |0.99988465 |1.
| 31 |0 |2 |0.66041543 |0.66041543 |0.70343117 |0.98193606 |0.99933639 |0.99984295 |0.99987807 |1.
| 32 |0 |2 |0.647178   |0.647178   |0.68932998 |0.98101895 |0.99933639 |0.99983435 |0.99987125 |1.
| 33 |0 |2 |0.63367951 |0.63367951 |0.67495075 |0.9800838  |0.99933639 |0.99982551 |0.99986424 |1.
| 34 |0 |2 |0.61992624 |0.61992624 |0.66030018 |0.97913104 |0.99933639 |0.99981646 |0.99985705 |1.
| 35 |0 |2 |0.6059255  |0.6059255  |0.64538606 |0.97816119 |0.99933639 |0.99980718 |0.99984969 |1.
| 36 |0 |2 |0.59168567 |0.59168567 |0.6302173  |0.97717482 |0.99933639 |0.99979768 |0.99984215 |1.
| 37 |0 |2 |0.57721625 |0.57721625 |0.61480404 |0.97617261 |0.99933639 |0.99978795 |0.99983443 |1.
| 38 |0 |2 |0.56252789 |0.56252789 |0.59915764 |0.97515528 |0.99933639 |0.99977802 |0.99982655 |1.
| 39 |0 |2 |0.54763245 |0.54763245 |0.58329073 |0.97412367 |0.99933639 |0.99976787 |0.99981849 |1.
| 40 |0 |2 |0.53254303 |0.53254303 |0.56721725 |0.97307869 |0.99933639 |0.99975751 |0.99981028 |1.
| 41 |0 |2 |0.51727397 |0.51727397 |0.55095249 |0.97202132 |0.99933639 |0.99974695 |0.9998019  |1.
| 42 |0 |2 |0.50184089 |0.50184089 |0.5345131  |0.97095266 |0.99933639 |0.9997362  |0.99979337 |1.
| 43 |0 |2 |0.48626074 |0.48626074 |0.51791712 |0.96987388 |0.99933639 |0.99972526 |0.99978469 |1.
| 44 |0 |2 |0.47055172 |0.47055172 |0.50118397 |0.96878625 |0.99933639 |0.99971415 |0.99977587 |1.
| 45 |0 |2 |0.45473338 |0.45473338 |0.48433446 |0.96769111 |0.99933639 |0.99970288 |0.99976693 |1.
| 46 |0 |2 |0.43882653 |0.43882653 |0.46739076 |0.96658992 |0.99933639 |0.99969145 |0.99975786 |1.
| 47 |0 |2 |0.42285327 |0.42285327 |0.4503764  |0.9654842  |0.99933639 |0.99967989 |0.99974868 |1.
| 48 |0 |2 |0.40683691 |0.40683691 |0.43331622 |0.96437558 |0.99933639 |0.9996682  |0.99973941 |1.
| 49 |0 |2 |0.39080195 |0.39080195 |0.41623633 |0.96326574 |0.99933639 |0.9996564  |0.99973005 |1.
| 50 |0 |2 |0.37477402 |0.37477402 |0.39916403 |0.96215646 |0.99933639 |0.99964451 |0.99972061 |1.
| 51 |0 |2 |0.35877979 |0.35877979 |0.38212772 |0.96104959 |0.99933639 |0.99963255 |0.99971112 |1.
| 52 |0 |2 |0.3428469  |0.3428469  |0.36515684 |0.95994704 |0.99933639 |0.99962055 |0.9997016  |1.
| 53 |0 |2 |0.32700382 |0.32700382 |0.34828172 |0.95885079 |0.99933639 |0.99960851 |0.99969204 |1.
| 54 |0 |2 |0.31127977 |0.31127977 |0.33153346 |0.95776284 |0.99933639 |0.99959646 |0.99968249 |1.
| 55 |0 |2 |0.29570451 |0.29570451 |0.31494381 |0.95668527 |0.99933639 |0.99958444 |0.99967295 |1.
| 56 |0 |2 |0.28030829 |0.28030829 |0.29854493 |0.95562016 |0.99933639 |0.99957246 |0.99966344 |1.
| 57 |0 |2 |0.26512155 |0.26512155 |0.28236928 |0.95456962 |0.99933639 |0.99956054 |0.99965399 |1.
| 58 |0 |2 |0.25017486 |0.25017486 |0.26644939 |0.95353575 |0.99933639 |0.99954873 |0.99964461 |1.
| 59 |0 |2 |0.2354986  |0.2354986  |0.25081764 |0.95252066 |0.99933639 |0.99953704 |0.99963533 |1.
| 60 |0 |2 |0.22112282 |0.22112282 |0.23550601 |0.95152643 |0.99933639 |0.9995255  |0.99962618 |1.
| 61 |0 |2 |0.20707697 |0.20707697 |0.22054589 |0.95055507 |0.99933639 |0.99951414 |0.99961716 |1.
| 62 |0 |2 |0.1933897  |0.1933897  |0.20596775 |0.94960858 |0.99933639 |0.99950299 |0.99960831 |1.
| 63 |0 |2 |0.18008855 |0.18008855 |0.19180095 |0.94868885 |0.99933639 |0.99949207 |0.99959966 |1.
| 64 |0 |2 |0.16719975 |0.16719975 |0.17807341 |0.9477977  |0.99933639 |0.99948143 |0.99959121 |1.
| 65 |0 |2 |0.15474795 |0.15474795 |0.16481138 |0.94693681 |0.99933639 |0.99947107 |0.99958299 |1.
| 66 |0 |2 |0.14275597 |0.14275597 |0.15203914 |0.94610777 |0.99933639 |0.99946103 |0.99957502 |1.
| 67 |0 |2 |0.13124451 |0.13124451 |0.13977877 |0.94531199 |0.99933639 |0.99945133 |0.99956733 |1.
| 68 |0 |2 |0.12023201 |0.12023201 |0.12804985 |0.94455075 |0.99933639 |0.999442   |0.99955992 |1.
| 69 |0 |2 |0.10973431 |0.10973431 |0.11686929 |0.94382514 |0.99933639 |0.99943305 |0.99955282 |1.
| 70 |0 |2 |0.09976454 |0.09976454 |0.10625105 |0.94313605 |0.99933639 |0.99942451 |0.99954604 |1.
| 71 |0 |2 |0.09033291 |0.09033291 |0.09620598 |0.9424842  |0.99933639 |0.99941638 |0.99953959 |1.
| 72 |0 |2 |0.08144653 |0.08144653 |0.08674167 |0.94187005 |0.99933639 |0.99940868 |0.99953349 |1.
| 73 |0 |2 |0.07310936 |0.07310936 |0.07786233 |0.9412939  |0.99933639 |0.99940143 |0.99952773 |1.
| 74 |0 |2 |0.06532207 |0.06532207 |0.06956865 |0.94075576 |0.99933639 |0.99939463 |0.99952233 |1.
| 75 |0 |2 |0.05808205 |0.05808205 |0.06185786 |0.94025547 |0.99933639 |0.99938827 |0.99951729 |1.
| 76 |0 |2 |0.0513834  |0.0513834  |0.05472365 |0.9397926  |0.99933639 |0.99938237 |0.99951261 |1.
| 77 |0 |2 |0.04521696 |0.04521696 |0.04815628 |0.93936652 |0.99933639 |0.99937692 |0.99950828 |1.
| 78 |0 |2 |0.03957047 |0.03957047 |0.04214269 |0.93897638 |0.99933639 |0.99937192 |0.99950431 |1.
| 79 |0 |2 |0.03444082 |0.03444082 |0.03667956 |0.93862197 |0.99933639 |0.99936735 |0.99950069 |1.
| 80 |0 |2 |0.02987352 |0.02987352 |0.03181533 |0.93830641 |0.99933639 |0.99936328 |0.99949746 |1.
| 81 |0 |2 |0.02583107 |0.02583107 |0.0275101  |0.93802713 |0.99933639 |0.99935967 |0.99949459 |1.
| 82 |0 |2 |0.02226434 |0.02226434 |0.02371151 |0.93778071 |0.99933639 |0.99935647 |0.99949206 |1.
| 83 |0 |2 |0.01912739 |0.01912739 |0.02037064 |0.937564   |0.99933639 |0.99935366 |0.99948982 |1.
| 84 |0 |2 |0.01637744 |0.01637744 |0.01744194 |0.93737402 |0.99933639 |0.99935119 |0.99948786 |1.
| 85 |0 |2 |0.01397482 |0.01397482 |0.01488315 |0.93720804 |0.99933639 |0.99934902 |0.99948615 |1.
| 86 |0 |2 |0.01188285 |0.01188285 |0.0126552  |0.93706352 |0.99933639 |0.99934714 |0.99948465 |1.
| 87 |0 |2 |0.01006775 |0.01006775 |0.01072212 |0.93693813 |0.99933639 |0.9993455  |0.99948335 |1.
| 88 |0 |2 |0.00849854 |0.00849854 |0.00905091 |0.93682973 |0.99933639 |0.99934408 |0.99948223 |1.
| 89 |0 |2 |0.00714689 |0.00714689 |0.00761141 |0.93673635 |0.99933639 |0.99934286 |0.99948126 |1.
| 90 |0 |2 |0.00598703 |0.00598703 |0.00637616 |0.93665623 |0.99933639 |0.99934181 |0.99948042 |1.
| 91 |0 |2 |0.00499558 |0.00499558 |0.00532027 |0.93658774 |0.99933639 |0.99934092 |0.99947971 |1.
| 92 |0 |2 |0.00415144 |0.00415144 |0.00442127 |0.93652943 |0.99933639 |0.99934015 |0.99947911 |1.
| 93 |0 |2 |0.00343564 |0.00343564 |0.00365893 |0.93647998 |0.99933639 |0.9993395  |0.99947859 |1.
| 94 |0 |2 |0.00283117 |0.00283117 |0.00301518 |0.93643823 |0.99933639 |0.99933896 |0.99947816 |1.
| 95 |0 |2 |0.00232289 |0.00232289 |0.00247386 |0.93640312 |0.99933639 |0.99933849 |0.99947779 |1.
| 96 |0 |2 |0.00189735 |0.00189735 |0.00202067 |0.93637372 |0.99933639 |0.99933811 |0.99947748 |1.
| 97 |0 |2 |0.00154269 |0.00154269 |0.00164295 |0.93634922 |0.99933639 |0.99933779 |0.99947723 |1.
| 98 |0 |2 |0.00124843 |0.00124843 |0.00132957 |0.93632889 |0.99933639 |0.99933752 |0.99947702 |1.
| 99 |0 |2 |0.00100545 |0.00100545 |0.0010708  |0.93631211 |0.99933639 |0.9993373  |0.99947684 |1.
|100 |0 |2 |0.00080622 |0.00080622 |0.00085862 |0.93629835 |0.99933639 |0.99933712 |0.9994767  |1.
|101 |0 |2 |0.00064603 |0.00064603 |0.00068801 |0.93628728 |0.99933639 |0.99933697 |0.99947658 |1.
|102 |0 |2 |0.00051766 |0.00051766 |0.00055131 |0.93627841 |0.99933639 |0.99933686 |0.99947649 |1.
|103 |0 |2 |0.0004148  |0.0004148  |0.00044176 |0.93627131 |0.99933639 |0.99933676 |0.99947642 |1.
|104 |0 |2 |0.00033238 |0.00033238 |0.00035398 |0.93626562 |0.99933639 |0.99933669 |0.99947636 |1.
|105 |0 |2 |0.00026634 |0.00026634 |0.00028365 |0.93626105 |0.99933639 |0.99933663 |0.99947631 |1.
|106 |0 |2 |0.00021342 |0.00021342 |0.00022729 |0.9362574  |0.99933639 |0.99933658 |0.99947627 |1.
|107 |0 |2 |0.00017101 |0.00017101 |0.00018213 |0.93625447 |0.99933639 |0.99933654 |0.99947624 |1.
|108 |0 |2 |0.00013703 |0.00013703 |0.00014594 |0.93625212 |0.99933639 |0.99933651 |0.99947622 |1.
|109 |0 |2 |0.0001098  |0.0001098  |0.00011694 |0.93625024 |0.99933639 |0.99933649 |0.9994762  |1.
|110 |0 |2 |0.00008799 |0.00008799 |0.0000937  |0.93624873 |0.99933639 |0.99933647 |0.99947618 |1.
|111 |0 |2 |0.0000705  |0.0000705  |0.00007509 |0.93624753 |0.99933639 |0.99933645 |0.99947617 |1.
|112 |0 |2 |0.00005649 |0.00005649 |0.00006017 |0.93624656 |0.99933639 |0.99933644 |0.99947616 |1.
|113 |0 |2 |0.00004527 |0.00004527 |0.00004821 |0.93624578 |0.99933639 |0.99933643 |0.99947615 |1.
|114 |0 |2 |0.00003627 |0.00003627 |0.00003863 |0.93624516 |0.99933639 |0.99933642 |0.99947615 |1.
|115 |0 |2 |0.00002907 |0.00002907 |0.00003096 |0.93624466 |0.99933639 |0.99933641 |0.99947614 |1.
|116 |0 |2 |0.00002329 |0.00002329 |0.0000248  |0.93624426 |0.99933639 |0.99933641 |0.99947614 |1.
|117 |0 |2 |0.00001866 |0.00001866 |0.00001988 |0.93624395 |0.99933639 |0.9993364  |0.99947613 |1.
|118 |0 |2 |0.00001495 |0.00001495 |0.00001593 |0.93624369 |0.99933639 |0.9993364  |0.99947613 |1.
|119 |0 |2 |0.00001198 |0.00001198 |0.00001276 |0.93624348 |0.99933639 |0.9993364  |0.99947613 |1.
|120 |0 |2 |0.0000096  |0.0000096  |0.00001023 |0.93624332 |0.99933639 |0.9993364  |0.99947613 |1.
|  0 |1 |2 |0.99364836 |0.99364836 |0.99933639 |0.99933639 |0.99933639 |1.         |1.         |1.
|  1 |1 |2 |0.98104586 |0.98104586 |0.99933639 |0.99933639 |0.99933639 |1.         |1.         |1.
|  2 |1 |2 |0.96860321 |0.96860321 |0.99933639 |0.99933639 |0.99933639 |1.         |1.         |1.
|  3 |1 |2 |0.95631837 |0.95631837 |0.99933639 |0.99933639 |0.99933639 |1.         |1.         |1.
|  4 |1 |2 |0.94418933 |0.94418933 |0.99933639 |0.99933639 |0.99933639 |1.         |1.         |1.
|  5 |1 |2 |0.93221413 |0.93221413 |0.99298567 |0.99928679 |0.99933639 |0.99999907 |0.99999907 |1.
|  6 |1 |2 |0.92039081 |0.92039081 |0.98038689 |0.9990893  |0.99933639 |0.99999536 |0.99999536 |1.
|  7 |1 |2 |0.90871745 |0.90871745 |0.96795091 |0.99873594 |0.99933639 |0.99998869 |0.99998869 |1.
|  8 |1 |2 |0.89719214 |0.89719214 |0.95567557 |0.99822862 |0.99933639 |0.99997918 |0.99997918 |1.
|  9 |1 |2 |0.88581301 |0.88581301 |0.94355872 |0.99756914 |0.99933639 |0.999967   |0.999967   |1.
| 10 |1 |2 |0.8745782  |0.8745782  |0.93157287 |0.99678384 |0.99933639 |0.99997765 |0.99997833 |1.
| 11 |1 |2 |0.86348588 |0.86348588 |0.91972877 |0.99598798 |0.99933639 |0.99999843 |0.99999997 |1.
| 12 |1 |2 |0.85253424 |0.85253424 |0.90805566 |0.99522359 |0.99933639 |0.99999818 |0.99999996 |1.
| 13 |1 |2 |0.84172151 |0.84172151 |0.8965306  |0.9944689  |0.99933639 |0.99999793 |0.99999996 |1.
| 14 |1 |2 |0.83104591 |0.83104591 |0.88515172 |0.99372377 |0.99933639 |0.99999767 |0.99999995 |1.
| 15 |1 |2 |0.82050571 |0.82050571 |0.87391717 |0.9929881  |0.99933639 |0.99999741 |0.99999994 |1.
| 16 |1 |2 |0.8100992  |0.8100992  |0.86282511 |0.99226176 |0.99933639 |0.99999715 |0.99999994 |1.
| 17 |1 |2 |0.79982467 |0.79982467 |0.85187374 |0.99154463 |0.99933639 |0.99999689 |0.99999993 |1.
| 18 |1 |2 |0.78968045 |0.78968045 |0.84106128 |0.9908366  |0.99933639 |0.99999662 |0.99999992 |1.
| 19 |1 |2 |0.7796649  |0.7796649  |0.83038595 |0.99013754 |0.99933639 |0.99999635 |0.99999991 |1.
| 20 |1 |2 |0.76977637 |0.76977637 |0.81984603 |0.98944735 |0.99933639 |0.99999607 |0.99999991 |1.
| 21 |1 |2 |0.76001325 |0.76001325 |0.80943979 |0.98876592 |0.99933639 |0.99999579 |0.9999999  |1.
| 22 |1 |2 |0.75037397 |0.75037397 |0.79916555 |0.98809313 |0.99933639 |0.99999551 |0.99999989 |1.
| 23 |1 |2 |0.74085694 |0.74085694 |0.78902161 |0.98742887 |0.99933639 |0.99999523 |0.99999988 |1.
| 24 |1 |2 |0.73146061 |0.73146061 |0.77900634 |0.98677304 |0.99933639 |0.99999494 |0.99999988 |1.
| 25 |1 |2 |0.72218346 |0.72218346 |0.76911811 |0.98612553 |0.99933639 |0.99999465 |0.99999987 |1.
| 26 |1 |2 |0.71302397 |0.71302397 |0.75935529 |0.98548622 |0.99933639 |0.99999435 |0.99999986 |1.
| 27 |1 |2 |0.70398065 |0.70398065 |0.7497163  |0.98485503 |0.99933639 |0.99999405 |0.99999985 |1.
| 28 |1 |2 |0.69488624 |0.69488624 |0.74002287 |0.98422027 |0.99933639 |0.99999375 |0.99999984 |1.
| 29 |1 |2 |0.68473369 |0.68473369 |0.7292016  |0.98351166 |0.99933639 |0.99999339 |0.99999983 |1.
| 30 |1 |2 |0.67323497 |0.67323497 |0.71694551 |0.98270909 |0.99933639 |0.99999298 |0.99999982 |1.
| 31 |1 |2 |0.66041543 |0.66041543 |0.70328162 |0.98181433 |0.99933639 |0.99999251 |0.99999981 |1.
| 32 |1 |2 |0.647178   |0.647178   |0.68917233 |0.9808904  |0.99933639 |0.99999199 |0.99999979 |1.
| 33 |1 |2 |0.63367951 |0.63367951 |0.67478482 |0.97994826 |0.99933639 |0.99999145 |0.99999978 |1.
| 34 |1 |2 |0.61992624 |0.61992624 |0.66012576 |0.97898833 |0.99933639 |0.99999088 |0.99999976 |1.
| 35 |1 |2 |0.6059255  |0.6059255  |0.64520297 |0.97801113 |0.99933639 |0.99999027 |0.99999975 |1.
| 36 |1 |2 |0.59168567 |0.59168567 |0.63002536 |0.97701724 |0.99933639 |0.99998962 |0.99999973 |1.
| 37 |1 |2 |0.57721625 |0.57721625 |0.61460307 |0.97600733 |0.99933639 |0.99998893 |0.99999971 |1.
| 38 |1 |2 |0.56252789 |0.56252789 |0.59894747 |0.97498214 |0.99933639 |0.99998819 |0.99999969 |1.
| 39 |1 |2 |0.54763245 |0.54763245 |0.58307119 |0.9739425  |0.99933639 |0.9999874  |0.99999967 |1.
| 40 |1 |2 |0.53254303 |0.53254303 |0.56698819 |0.97288932 |0.99933639 |0.99998657 |0.99999964 |1.
| 41 |1 |2 |0.51727397 |0.51727397 |0.55071377 |0.9718236  |0.99933639 |0.99998567 |0.99999962 |1.
| 42 |1 |2 |0.50184089 |0.50184089 |0.53426459 |0.97074643 |0.99933639 |0.99998471 |0.99999959 |1.
| 43 |1 |2 |0.48626074 |0.48626074 |0.51765871 |0.96965901 |0.99933639 |0.99998368 |0.99999957 |1.
