Dataset:     New version of inf1981.txt, altered to give SSA-born different
             probabilities for disease states (+). In the original versions, SSA-
             born and ONUK-born had the same probabilities. This is the first
             'new' version (there may be subsequent ones).
Description: This inf1981.txt file specifies the probabilities of various diseas
             for migrants upon entry to the UK.
Label a:     Age in years
Label s:     Sex, 0=male, 1=female
Label r:     Region of birth, 0=ONUK-born, 1=UK-born, 2=SSA-born
Label y:     Array index for year (0=1981)
Label q:     Disease state, cumlative probabilities where 0=Always 0,
             1=Uninfected, 2=Immune, 3=Recent Infection, 4=Latent Infection,
             5=Reinfection, 6=Primary Disease, 7=Reactivation Disease,
             8=Reinfection Disease

|a   |s |r |q1         |q2         |q3         |q4         |q5         |q6         |q7         |q8
| 45 |0 |0 |0.53661337 |0.53661337 |0.55352173 |0.98564852 |0.99933639 |0.99971549 |0.99981817 |1.
| 46 |0 |0 |0.51784231 |0.51784231 |0.53415885 |0.98503463 |0.99933639 |0.99970258 |0.99980983 |1.
| 47 |0 |0 |0.49899288 |0.49899288 |0.51471515 |0.9844182  |0.99933639 |0.9996896  |0.99980143 |1.
| 48 |0 |0 |0.48009258 |0.48009258 |0.49521901 |0.98380012 |0.99933639 |0.99967656 |0.999793   |1.
| 49 |0 |0 |0.46117034 |0.46117034 |0.47570026 |0.98318133 |0.99933639 |0.99966347 |0.99978454 |1.
| 50 |0 |0 |0.4422564  |0.4422564  |0.45619009 |0.98256284 |0.99933639 |0.99965037 |0.99977606 |1.
| 51 |0 |0 |0.42338223 |0.42338223 |0.43672098 |0.98194566 |0.99933639 |0.99963727 |0.99976759 |1.
| 52 |0 |0 |0.40458044 |0.40458044 |0.41732655 |0.98133087 |0.99933639 |0.99962419 |0.99975914 |1.
| 53 |0 |0 |0.38588464 |0.38588464 |0.39804147 |0.98071956 |0.99933639 |0.99961116 |0.99975071 |1.
| 54 |0 |0 |0.36732928 |0.36732928 |0.3789013  |0.98011285 |0.99933639 |0.9995982  |0.99974233 |1.
| 55 |0 |0 |0.34894952 |0.34894952 |0.35994228 |0.97951191 |0.99933639 |0.99958534 |0.99973402 |1.
| 56 |0 |0 |0.33078103 |0.33078103 |0.34120121 |0.97891789 |0.99933639 |0.9995726  |0.99972578 |1.
| 57 |0 |0 |0.31285975 |0.31285975 |0.32271517 |0.97833196 |0.99933639 |0.99956002 |0.99971764 |1.
| 58 |0 |0 |0.29522173 |0.29522173 |0.30452133 |0.97775531 |0.99933639 |0.99954761 |0.99970962 |1.
| 59 |0 |0 |0.27790284 |0.27790284 |0.28665671 |0.97718911 |0.99933639 |0.9995354  |0.99970172 |1.
| 60 |0 |0 |0.26093853 |0.26093853 |0.26915786 |0.97663452 |0.99933639 |0.99952342 |0.99969398 |1.
| 61 |0 |0 |0.24436357 |0.24436357 |0.25206065 |0.97609267 |0.99933639 |0.99951169 |0.99968639 |1.
| 62 |0 |0 |0.22821174 |0.22821174 |0.23539993 |0.97556466 |0.99933639 |0.99950024 |0.99967899 |1.
| 63 |0 |0 |0.21251557 |0.21251557 |0.21920923 |0.97505156 |0.99933639 |0.9994891  |0.99967179 |1.
| 64 |0 |0 |0.19730599 |0.19730599 |0.20352048 |0.97455438 |0.99933639 |0.99947828 |0.99966479 |1.
